trial,score,duration_sec,lgbm_num_leaves,lgbm_learning_rate,lgbm_feature_fraction,lgbm_bagging_fraction,lgbm_n_estimators,lgbm_residual_threshold_sigma,stl_residual_threshold_sigma,iforest_contamination,iforest_n_estimators,w_stl_raw,w_lgbm_raw,w_iforest_raw,ensemble_threshold,dbscan_eps_days,cascade_rate,drift_rate,ensemble_f1,ensemble_fp,ensemble_tp,lgbm_f1,spike_rate,stl_f1,w_iforest,w_lgbm,w_stl
302,0.4409,10.5,90,0.038221766625089915,0.5325213841305522,0.9891758148510856,900,1.9218968691321103,2.6384172691015864,0.012976324277271656,350,0.8577567502495802,0.7299540803254088,0.11932218288052196,0.09318807005821214,3,0.3421,0.3566,0.4801,77,133,0.3488,0.8333,0.2946,0.0699,0.4276,0.5025
344,0.4395,10.9,88,0.04573603811651855,0.5424165443902412,0.9722682905345613,1300,2.1471888682959106,1.8569460953940553,0.014091474209649782,400,0.9201218965687256,0.6866143090580323,0.17854921244522387,0.09900591957801606,3,0.3816,0.4016,0.4601,148,147,0.3536,0.8333,0.2152,0.1,0.3846,0.5154
82,0.438,25.5,45,0.04348593056204327,0.5436369461396845,0.971403438117938,200,1.6195531857467742,2.8567700067534303,0.011340021975955503,450,0.8720686123422302,0.5026225336012066,0.14823766230574853,0.08757627979385421,3,0.5132,0.4508,0.4191,301,171,0.3481,0.9167,0.3182,0.0973,0.33,0.5726
448,0.437,42.2,33,0.047252547980743236,0.5133564870175787,0.9997685684630131,1100,1.6949312939181278,1.6500417890908587,0.0035496933019437495,450,0.7478815789888724,0.5407039370861131,0.13580716871185133,0.08533105076260679,2,0.4868,0.4549,0.4225,287,169,0.3569,0.875,0.1987,0.0953,0.3796,0.5251
476,0.4367,8.3,30,0.011400913128856143,0.5172014599307483,0.9665346079214024,1000,1.6933486449558555,1.5868209492286725,0.003798152271902453,350,0.6945742669643689,0.5645342882071203,0.12963585301235173,0.08046521268956425,2,0.5263,0.4631,0.4118,327,174,0.3554,0.875,0.1934,0.0933,0.4065,0.5001
435,0.4358,24.8,29,0.043461672082532356,0.512012840413414,0.9755711409603707,1000,1.7339615366173788,1.8891520895338798,0.003155195157176368,450,0.6983915100046925,0.5816243486197133,0.10020122190520475,0.06805702115991073,2,0.5526,0.4713,0.4031,369,180,0.3563,0.9583,0.2188,0.0726,0.4214,0.506
127,0.435,30.7,69,0.04748515364769663,0.5937725158213866,0.9557923550640077,400,2.251969387375455,1.5595827631109649,0.008592972937979374,400,0.8961951049854587,0.4575139858689006,0.17508997070137564,0.09945754101930825,3,0.4868,0.4508,0.4205,287,168,0.3398,0.875,0.1905,0.1145,0.2993,0.5862
493,0.434,7.6,26,0.04077563619003114,0.5246952439885487,0.9737816236132254,1100,1.6750459407912426,1.6701837476030887,0.0031241493349400645,450,0.8161998866216617,0.5524038971251816,0.11789875568820563,0.0732115548937607,2,0.5658,0.4713,0.3978,385,181,0.3526,0.9583,0.201,0.0793,0.3716,0.5491
314,0.434,9.9,43,0.033567413612390504,0.5186971590336616,0.9912816784972611,1400,2.137105089686625,1.8677278808084044,0.012162386972142404,300,0.8487571243479074,0.397519328826564,0.15885717996072857,0.09785001953844585,3,0.5,0.459,0.4145,310,171,0.3504,0.875,0.2157,0.1131,0.2829,0.604
178,0.4333,34.8,78,0.04478135451798494,0.6068693429461695,0.9900193275349388,1100,1.7504546119404834,1.7984670420512472,0.014271414189984438,450,0.8254887291504142,0.6491289257775265,0.13342279590544925,0.10550567710699484,3,0.3289,0.3525,0.473,66,127,0.3468,0.6667,0.2107,0.083,0.4037,0.5134
443,0.4327,14.1,37,0.0392773096113741,0.5210621101206662,0.9997903395282419,1000,1.8118832183192526,1.8224461910051364,0.003754930164028951,450,0.7061207128870044,0.5509275263530086,0.11669608425625444,0.07380581589325688,2,0.5526,0.4836,0.3961,397,183,0.3553,0.9583,0.2125,0.0849,0.401,0.514
